


Concurrency: 10 | Throughput: 381.577710 | median: 13.537528 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000884291s | size: 22880 | mean: 26.217501 | min: 6.515655 | max: 12339.376051
Concurrency: 10 | Throughput: 580.058995 | median: 9.298876 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000793493s | size: 34787 | mean: 17.243944 | min: 6.448158 | max: 13758.145593
Concurrency: 20 | Throughput: 1030.635378 | median: 9.000660 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003762079s | size: 61802 | mean: 19.412119 | min: 6.460702 | max: 26194.827158







Concurrency: 30 | Throughput: 2439.831796 | median: 9.971854 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.922029475s | size: 155913 | mean: 11.716818 | min: 6.424713 | max: 6024.726986
Concurrency: 30 | Throughput: 2083.026577 | median: 10.252066 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000674668s | size: 124925 | mean: 14.402627 | min: 6.448845 | max: 4642.853744

Concurrency: 60 | Throughput: 381.568855 | median: 18.802470 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m5.199241779s | size: 24757 | mean: 21.370448 | min: 12.765254 | max: 622.636890


Concurrency: 60 | Throughput: 1567.473445 | median: 17.743288 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.012499937s | size: 93948 | mean: 38.306496 | min: 6.696042 | max: 16782.093710
Concurrency: 80 | Throughput: 247.840664 | median: 21.734482 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.583921476s | size: 15220 | mean: 43.519187 | min: 7.882152 | max: 53964.938066







Concurrency: 100 | Throughput: 2155.549770 | median: 25.483767 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002326009s | size: 129138 | mean: 46.434714 | min: 7.937914 | max: 7354.919064


Concurrency: 200 | Throughput: 737.931587 | median: 43.188022 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001497122s | size: 43877 | mean: 273.348017 | min: 13.179657 | max: 29037.697516
Concurrency: 200 | Throughput: 349.129332 | median: 38.602781 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.076541119s | size: 22360 | mean: 515.301891 | min: 13.386545 | max: 46982.500927
Concurrency: 200 | Throughput: 2478.629451 | median: 41.409661 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001707775s | size: 148322 | mean: 80.828377 | min: 6.763311 | max: 13002.699670







Concurrency: 600 | Throughput: 1761.976415 | median: 114.960801 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00647858s | size: 105089 | mean: 341.923238 | min: 16.585298 | max: 32071.025877
Concurrency: 600 | Throughput: 3353.023200 | median: 114.940284 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004356663s | size: 199996 | mean: 179.605736 | min: 7.369685 | max: 13344.906890


Concurrency: 800 | Throughput: 613.454621 | median: 167.841071 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.978504475s | size: 37478 | mean: 1032.622391 | min: 0.050435 | max: 27326.140676

Concurrency: 800 | Throughput: 883.842319 | median: 168.050869 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.092345123s | size: 53197 | mean: 504.206142 | min: 13.392819 | max: 27535.525356


Concurrency: 1000 | Throughput: 837.701934 | median: 200.752751 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m5.45526253s | size: 54778 | mean: 1063.874784 | min: 0.049650 | max: 23936.170030

Concurrency: 1000 | Throughput: 2677.716638 | median: 197.795013 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.042200766s | size: 159621 | mean: 374.539572 | min: 0.047813 | max: 27806.842567


Concurrency: 10 | Throughput: 614.471501 | median: 10.432939 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002782805s | size: 36853 | mean: 16.276575 | min: 6.488073 | max: 6325.227671
Concurrency: 10 | Throughput: 844.721967 | median: 8.242731 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.386733125s | size: 50999 | mean: 10.604353 | min: 6.444066 | max: 6983.413403
Concurrency: 10 | Throughput: 824.628743 | median: 8.433877 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002759349s | size: 49460 | mean: 12.124941 | min: 6.443122 | max: 5884.619251
Concurrency: 10 | Throughput: 288.585220 | median: 15.680609 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.491072864s | size: 18026 | mean: 31.672248 | min: 12.597549 | max: 13624.151977

Concurrency: 20 | Throughput: 421.620474 | median: 19.932422 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006573591s | size: 25278 | mean: 47.468860 | min: 12.692140 | max: 19660.888934
Concurrency: 20 | Throughput: 1648.744935 | median: 9.269639 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002003896s | size: 98890 | mean: 12.128779 | min: 6.388774 | max: 4824.772516

Concurrency: 20 | Throughput: 890.858582 | median: 9.790426 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.236748414s | size: 56296 | mean: 18.556398 | min: 6.365481 | max: 12212.066916
Concurrency: 20 | Throughput: 888.001040 | median: 9.498185 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002181984s | size: 53243 | mean: 22.531782 | min: 6.465303 | max: 27639.770941
Concurrency: 30 | Throughput: 1806.842730 | median: 12.628330 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.007436292s | size: 108364 | mean: 16.604278 | min: 6.497086 | max: 4782.285724
Concurrency: 30 | Throughput: 1483.107104 | median: 10.563770 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005780939s | size: 88935 | mean: 20.232396 | min: 6.494190 | max: 8747.639467
Concurrency: 30 | Throughput: 1532.157634 | median: 12.464400 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00165907s | size: 91872 | mean: 19.586650 | min: 6.410024 | max: 11305.157599
Concurrency: 30 | Throughput: 433.755001 | median: 16.888082 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.209668948s | size: 26522 | mean: 54.557870 | min: 12.518995 | max: 18519.557415

Concurrency: 60 | Throughput: 2960.722327 | median: 14.499915 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.08672583s | size: 189626 | mean: 16.532065 | min: 6.429459 | max: 12638.103250

Concurrency: 60 | Throughput: 2372.390465 | median: 16.927806 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003191772s | size: 142231 | mean: 25.294216 | min: 6.535131 | max: 7758.501856


Concurrency: 80 | Throughput: 2127.650611 | median: 19.837987 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000922787s | size: 127501 | mean: 37.624055 | min: 6.618223 | max: 25607.857929
Concurrency: 80 | Throughput: 2659.832654 | median: 20.954610 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00302303s | size: 159438 | mean: 30.077941 | min: 6.601140 | max: 13033.005863
Concurrency: 80 | Throughput: 1403.298111 | median: 20.522905 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002931193s | size: 84042 | mean: 57.088484 | min: 6.851573 | max: 16836.058462
Concurrency: 80 | Throughput: 3167.183938 | median: 18.608320 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005987566s | size: 189890 | mean: 25.246166 | min: 6.588221 | max: 5864.787475
Concurrency: 80 | Throughput: 878.592931 | median: 21.341649 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.31078375s | size: 56343 | mean: 72.674784 | min: 7.055677 | max: 29082.019444


Concurrency: 100 | Throughput: 1678.600990 | median: 23.668886 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001751809s | size: 100519 | mean: 59.645454 | min: 6.710469 | max: 22018.548396
Concurrency: 100 | Throughput: 2349.358794 | median: 23.528779 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004031886s | size: 140771 | mean: 42.602538 | min: 6.813646 | max: 24553.289706
Concurrency: 100 | Throughput: 3851.537913 | median: 22.496508 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000188299s | size: 230894 | mean: 25.962547 | min: 6.496510 | max: 3359.784971
Concurrency: 200 | Throughput: 2964.871017 | median: 43.757968 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002272945s | size: 177499 | mean: 67.516107 | min: 7.137608 | max: 12648.178586
Concurrency: 200 | Throughput: 3296.541476 | median: 46.927874 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001065183s | size: 197396 | mean: 60.657940 | min: 6.793607 | max: 6487.961173
Concurrency: 200 | Throughput: 3609.095045 | median: 43.814707 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003407307s | size: 216164 | mean: 55.453447 | min: 6.927843 | max: 6735.129855
Concurrency: 200 | Throughput: 2341.027230 | median: 41.680711 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.613135194s | size: 141738 | mean: 77.839860 | min: 6.955557 | max: 13226.062811
Concurrency: 200 | Throughput: 3730.691302 | median: 40.881236 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002552308s | size: 223451 | mean: 53.647458 | min: 6.520057 | max: 6449.339054
Concurrency: 300 | Throughput: 1234.239838 | median: 57.204227 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004545062s | size: 73460 | mean: 244.803272 | min: 8.075482 | max: 18642.190293
Concurrency: 300 | Throughput: 3024.156354 | median: 59.023219 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.009794055s | size: 180879 | mean: 99.401957 | min: 6.758714 | max: 10972.740304
Concurrency: 300 | Throughput: 867.607517 | median: 57.573196 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.895455459s | size: 57745 | mean: 63.597066 | min: 9.603499 | max: 54800.465268
Concurrency: 300 | Throughput: 2538.107100 | median: 59.763452 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002984113s | size: 151694 | mean: 118.503900 | min: 6.760187 | max: 15763.786530
Concurrency: 300 | Throughput: 3278.543321 | median: 57.657116 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003477388s | size: 196124 | mean: 91.655598 | min: 6.602590 | max: 6099.376157

Concurrency: 600 | Throughput: 2821.310068 | median: 110.081541 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.372552409s | size: 171951 | mean: 191.510412 | min: 7.804642 | max: 7902.364464
Concurrency: 600 | Throughput: 2160.074776 | median: 118.250091 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006718959s | size: 128419 | mean: 279.574198 | min: 7.343264 | max: 14156.511405
Concurrency: 600 | Throughput: 3116.106346 | median: 113.956536 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.016886224s | size: 185822 | mean: 193.335421 | min: 7.442580 | max: 20954.574473
Concurrency: 600 | Throughput: 2482.742508 | median: 111.219436 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006222772s | size: 147780 | mean: 243.031576 | min: 9.306880 | max: 32075.385752
Concurrency: 800 | Throughput: 3183.184223 | median: 149.022613 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005637942s | size: 189486 | mean: 252.459838 | min: 0.049191 | max: 7051.879318


Concurrency: 800 | Throughput: 2227.246909 | median: 150.673840 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000532247s | size: 132206 | mean: 361.946976 | min: 7.119359 | max: 26296.439084
Concurrency: 800 | Throughput: 2052.437584 | median: 147.128654 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000850185s | size: 122290 | mean: 391.324686 | min: 8.802883 | max: 27115.097251
Concurrency: 1000 | Throughput: 2088.144413 | median: 189.490932 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.016442924s | size: 124702 | mean: 479.481628 | min: 0.048803 | max: 28389.995637

Concurrency: 1000 | Throughput: 2925.406091 | median: 184.145324 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003635227s | size: 173565 | mean: 344.408356 | min: 0.048722 | max: 16867.032907
Concurrency: 1000 | Throughput: 4332.248219 | median: 201.629707 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.315681459s | size: 268519 | mean: 208.180477 | min: 0.043913 | max: 7601.212784

